Commit Hash,Human tagged data,DEffort score,我的分数,标准化后的分数,,,总时间/s,调用图时间/s,DDG/s,CDG/s,,Changed LoC,ELOC,ERROR for 1
944e308a52e985e2498287a82f71dd4e03fc1724,95,226.4763509,4591.206546,57.06786015,,,43.119,1.747,29.184,7.102,,73,0,1
3bd017cb0a772f0c33d22dc1f8fd40012d33dab9,90,265.8133765,893.1795275,65.86720061,,,41.521,1.227,29.695,8.201,,32,96.81,0
91a93accd70fc8ef91a68b6dbfe6d211e7679719,50,0.1,0,0,,,19.787,1.26,13.333,3.646,,25,0,1
9e0ff508e82fcdf8b8e6edfe5885dae06d48f638,40,8.061519315,2.501285021,22.95432272,,,26.354,1.281,19.068,4.033,,22,0,1
26dcc6f914999aa3b07ede45e0717ad2e60053a0,100,654.9913963,12193.84302,397.3168143,,,237.237,1.257,180.08,47.21,,451,0,1
db47570efefe32054f6d5a45cf0023e9d6927338,90,743.2136069,3708.8601,87.11381126,,,92.153,1.213,69.385,17.981,,227,74.90361599,1
34327ae83e0055a4ebc354677f446c23d793e119,10,7.372740552,0,9.838864727,,,20.925,1.735,14.129,3.547,,3,0.55,0
daac18619a5fea8a68a0eff17037a46d364a8d43,50,0.613,130.8109964,41.87875363,,,23.507,1.253,16.779,3.773,,23,0,1
62fb4bcbe09c5fb002dcebe408c7bd1d1c0990f4,70,331.1439106,10910.31902,80.24706986,,,44.98,1.348,33.309,8.449,,157,16.31578947,1
36678c44dc0e43906908f68bc4ffbb5ae615f40d,10,0.403,0,0,,,25.16,1.267,18.151,4.124,,3,0,1
94017237b2046574267f46bf6f441bc560378b58,80,559.7882278,3575.648281,54.88976115,,,84.813,1.263,59.968,16.342,,67,77.88277861,1
c395aad5adb4e9ee312559937c08382ea8215e7c,20,3.132424806,0,10.06703823,,,22.197,1.305,15.546,3.819,,3,1,0
f00ce5da9ef8b0de42717e62ccdbf30765e25af3,80,2485.798957,54905.25149,534.1906468,,,294.139,1.229,222.602,51.322,,694,27.5,1
a3bbcc82ae9ad126ae1d0cb7b0839c288ed05c70,70,4219.516885,0,185.3178419,,,105.426,1.241,80.664,20.142,,18,1,1
5f9bc347ee6a2191b2ad10eb2e0ed4c19d35f83d,60,4.859091594,0,10.31398681,,,19.703,1.445,13.291,3.471,,9,0,1
6a487ba686bafed9c642069e6046337af1bfd3a6,80,553.9706365,13666.36429,141.2217423,,,64.575,1.261,47.968,11.701,,80,2,1
23bb9b89deb6d09a29dd87ac9cb0ed7b864ae910,70,622.6877276,2753.090705,53.23380375,,,19.257,1.239,12.846,3.458,,54,0,1
04aeaa5bcdd63d6a21ea8ce64e27066da689683c,80,192.6806775,6158.743608,138.1307669,,,110.01,1.215,84.219,21.125,,222,0,1
157174543fb28cf701937e4a377fc851ad3e0f3a,80,99.6875622,0,67.64115073,,,47.997,1.2,34.982,9.603,,28,0,1
19626731c0016f6a0dccaabad8ff2eac00c416a3,95,2406.682772,21820.49507,282.5741686,,,154.744,1.261,115.049,29.495,,307,0,1
b9a6b5ed897c0a4cafc52d96dd88c6eceac3797f,80,182.8864362,1540.363238,64.2015378,,,19.819,1.227,13.226,3.534,,36,0,1
8881ef4b3fe80245ce0057eb7d6863ec4265ff71,60,0.01,2.660110872,10.9395953,,,21.218,1.253,14.042,3.612,,3,0.001,0
235900eb57e3a7cdf84021858062025aab861338,70,188.5990967,1206.41136,24.50816656,,,39.818,1.215,27.123,7.757,,5,79.38,0
75e8dc6f9bf8b2e80924bf6d0420790c20ad97fa,70,4.372407101,0,10.25752383,,,20.269,1.292,13.582,3.474,,8,0.4,0
d4c0e961ab69a8e170534b290bfd9276dcdf0078,80,1.16004449,0,10.19993977,,,20.02,1.214,13.756,3.617,,4,0.2,0
3ee994b25c9974f9de16c71506b15ea1991febf5,50,13.01541229,0,13.65672696,,,21.672,1.226,14.705,3.764,,21,1,0
9e876e7ff004608bc74a9b723195119123ee6625,60,0.353,0,10.41723623,,,23.368,1.219,16.752,3.898,,1,0.14,0
d2a9977290d05868c94ee027cfa3ef472b159dcd,40,30.0819995,0,11.04653179,,,23.851,1.234,17.171,3.94,,6,13.12,0
dd0bbda07091d1f5532cf998ed91c90751049d33,75,14.95333063,0,14.08441903,,,24.527,1.228,16.145,3.649,,3,9,0
e6ad081b3c1612a538f0108813cd7c10870d26f9,76,2293.555389,682.6659516,169.723936,,,149.812,1.218,112.405,28.302,,294,62.274,1
19571aa20755f14984410aa0b3f1a1b3b4c146ec,70,176.1847033,0,9.958657614,,,26.874,1.296,19.332,4.668,,6,0,1
6ba9b4acdcba411a035503e3eae9e17b64bcc59b,69,81.99786983,0,63.54912843,,,74.008,1.269,56.709,13.291,,40,0,1
4c464b2432525102ad293c20e636970176b74c28,10,0.979086321,101.0726693,10.73740209,,,21.245,1.243,14.665,3.827,,3,0.54,0
c091c05b72ee2f773af1623da29638a797813459,80,332.1412391,2497.369773,113.4633267,,,37.01,1.521,25.686,7.261,,108,0,1
f8f5bbda872e425dee4df07234f2d4e3e52f3b66,90,340.9884625,10151.98747,267.7335743,,,19.583,1.241,13.183,3.504,,151,0,1
d323e0d68475e6b04df59bc268df832480e2dc4a,80,10201.29954,57864.30481,2726.237905,,,1043.659,1.286,805.123,198.035,,1745,295.275,1
0a42d173ef7ae4497439cf52d75d43ef51e46541,90,9720.043587,981001.1013,12122.8175,,,3358.481,1.361,2563.665,650.957,,11171,0,1
ef9f8ba9ab13bb2f67163199a309ee223e012949,79,176.5572393,65080.81067,40.28367507,,,25.851,1.556,18.069,4.034,,60,0,1
d2c59fd5e40409248b4c9eb876d67249ac881a1d,75,64.48589908,1487.474963,27.44268203,,,42.407,1.25,29.707,7.475,,25,38.9875,1
af2cc82e823d696d874b561fa3d81c754b6fa04d,81,148.3709286,3099.739446,60.80994811,,,61.471,1.224,44.839,11.498,,27,13.43,1
f055b3e83bffa4401fcbec9a19f694f84ec760ea,79,0.303,0,0,,,21.697,1.215,14.719,3.672,,10,0,1
e09c5d0691a23ef06e36bae6986c8fe373580eb7,84,1398.236782,0,60.58488669,,,45.623,1.204,32.455,7.523,,74,8,1
4d0caa4f423aadfb0fabc87c11a9962f5c7e4d7a,86,367.3138746,1353.91176,261.5490659,,,343.513,1.242,255.246,76.48,,172,2.8,1
0e8adf79dcc82e8ddeb24f5c9988138619845c03,83,37471.92983,205506.7085,1121.067098,,,683.476,2.572,646.655,0.0,,1347,149.8025,1
3dd37952bce9cc9bef78e248958f628e21d96b75,85,29651.00473,97444.08005,3649.600163,,,517.602,2.581,407.323,69.65,,2242,0,1
58386f857bf09f320aea4baa6715e1304bdfc1d0,10,32.30177314,0,0,,,56.813,1.303,41.977,10.719,,5,10,0
0289c78e8df1827c9fe04aca15d098e876abfdfe,10,15.37239226,0,0,,,42.669,1.377,30.664,8.168,,12,0,1
000fa7bc102fc44272b8c89ac63a43453b62a560,0,7.745922414,0,0,,,41.884,1.512,30.841,7.323,,2,0,1
1fb79b96f6b79d8146333c4e21f187b74f06d698,75,115.5571466,0,42.67695026,,,24.561,1.221,17.568,4.133,,33,0,1
dfc2086d2416af22eb97fc1a601aaadb486a5378,80,20943.45733,149404.0017,1745.416089,,,708.918,1.243,576.968,108.769,,1440,60.24,1
ffc8cd7585f13689170bae1e1b894f649b6581a7,90,1632.831257,56445.04857,110.6773305,,,97.362,1.405,71.955,18.77,,270,0,1
a02455acb31ad7e676130d46d6a04bd97b76e957,90,6540.738192,0,218.0616067,,,139.058,1.348,104.916,28.282,,242,0,1
fff097615bea52776a9bac3df1751d1965ddea9a,75,76.84766047,0,34.82094856,,,36.798,1.505,27.623,5.635,,15,0,1
277c7228c3c626b93b298dc94aee4a7895851715,85,35.07646246,433.6903758,11.67659318,,,34.775,1.576,25.445,5.882,,4,4.51,0
012429391ca318076a9dde8e9053653d9a3c9af6,79,8.226766573,0,10.23542123,,,181.641,1.988,142.428,32.821,,15,0,1
bc7aae743ac7705f58af0ea9943ad464cb8e70d7,84,53.46906192,0,43.82059379,,,106.051,2.738,78.736,16.537,,23,6.002,1
238401731bbc53dc1aac23a58447b199ed4c5db5,0,0.212,1.31062189,10.49904378,,,24.223,1.408,17.205,3.966,,3,0.01,0
8b73f6b83ca85193662b26204cf57d8d025a8465,11,68.86361081,201.9840315,43.5244306,,,80.116,1.281,60.326,14.963,,178,0.02,1
b10d43f2bb810913c421eb1ad6fe08b277692750,20,10511.20352,107207.7535,1196.538839,,,837.35,1.237,551.956,251.65,,1155,7.21,1
445d4271f9bc9061e2c98cd25a5f020fc4ff05e3,20,0.503,0,0,,,43.829,1.43,31.658,7.981,,8,0,1
b6ae693fe5a86ba9a8390bd209a71a32a1922226,10,1.11,11.93441148,116.6450547,,,214.573,1.302,162.118,37.276,,30,0.1,0
4dd7cefbde157b76baf245fb71fdbf607ee5c5b4,65,756.9865001,0,61.88199858,,,76.021,1.215,53.676,14.219,,68,2,1
fb0c0737836a73eb162b564d72d13084008ff724,20,1035.058032,0,111.9217442,,,146.482,1.305,112.075,26.631,,292,0,1
30c253b37b3a2687c33196d4bfb48fcb865ffcd8,84,3575.98507,3200.587554,635.6489416,,,427.928,1.26,311.412,97.884,,841,67.59,1
5390aef223a2c4e4f79bf98a8b592066e2afc811,70,297.6233465,3271.831305,119.0142618,,,153.824,1.348,117.085,28.28,,21,54.25,0
013851d898510de3ecea401c4548fa17c99b746e,75,152.3563251,0,52.27376449,,,24.083,1.262,15.626,4.047,,125,0,1
4150ac0592e29b885dce51d602cdddec853b4c13,78,3645.304423,40391.09031,556.0794027,,,297.259,1.466,228.242,52.659,,547,4,1
670f0456ba4f5067a1129b7c8c0e1dbfc1d3d52b,80,1356.489797,0,76.65018101,,,66.195,1.62,46.281,12.19,,107,118.86,1
88a05247e16508df50168c47a773f8e61fba22ee,82,17189.24319,0,450.6459376,,,89.049,1.345,65.479,18.94,,730,0,1
7b47b28d469808c99c89fcaacd78d44ae6b9ac6e,78,9232.5658,128984.8311,965.6964167,,,442.367,1.8,332.931,80.268,,801,0,1
17ebfc529e450b81e87c7fa9c301f746eca93054,80,84.48049386,3916.622303,39.91213689,,,66.611,1.261,50.368,11.799,,23,19.341,1
9496bb8475792ffd1cf695c26c0671df3640b9d2,65,1115.202301,7205.234525,44.27705813,,,74.434,1.453,50.461,15.311,,87,63.06537292,1
90f69c87b27b721ea8f0e23bdb4baf92bd7cde06,62,1076.900096,0,28.47102564,,,41.408,1.823,30.6,4.167,,76,45.931,0
4ce032c92c6f1f7beaafbb5622647de8db93586f,72,307.4672177,7984.377087,152.2516868,,,183.02,1.25,138.484,35.66,,140,9.56,1
50f93ec18be8d6f49138825356051c4c0b60dce4,74,1214.542013,77704.28542,381.9835936,,,78.709,1.289,57.907,14.897,,246,0,1
92f757eee3e9f8f964b3cdbe6e878daf75e989f6,82,5152.473358,12704.6744,255.3776317,,,213.78,1.345,161.954,40.049,,549,62.5406846,1
bdc7f3b93e36a1601240dc65dcde526e76dd4ff1,79,384.9628928,89.95403103,82.31187635,,,97.433,1.335,72.487,17.332,,61,2.16,1
c56c00c54935aca35ce3cf3e97fd6db3f6463509,90,465.5902866,10972.00474,226.7221596,,,311.136,1.216,239.009,60.712,,53,28.48777778,1
1eeca062f29f4fe6d63f9c4c59528891c40ec9cb,60,0.6,0,0,,,20.457,1.203,13.167,3.566,,6,0,1
755b69ea3cc44557ed0517b7348ab16870a39975,78,30.18755404,324,23.48705138,,,37.419,1.247,26.186,6.894,,11,0,1
5164a4e7b4e122bd3f81db212f6d8ed4a681c583,75,87.40918643,0,29.38592727,,,39.796,1.214,27.264,7.057,,5,8.145714286,0
29ba623ebeec67cd6e8d940b2fed9151c16e4daa,95,6378.608688,1253.000564,168.6596093,,,125.376,1.235,94.833,22.633,,383,8.512,1
aff1d2024c67a96b40e4f8b4c33d65af31cb6bb5,84,10135.20517,188396.9289,680.6095595,,,373.759,1.205,286.302,69.431,,875,338.9179134,0
760795b6dfa6db8359aa9a4cd740a09ffb49b8f8,72,69800.08838,1955.02396,3375.49567,,,252.021,1.249,182.954,44.865,,4621,10.57,1
d77112f608ed188a899acb2b9940118b19568768,60,3717.790357,556719.3569,909.4638983,,,445.959,1.265,341.622,83.49,,821,127.5916667,1
fde3fca687e0e5aab5d67242f2523c112e623451,62,144.1103266,1576.633166,117.7303486,,,146.763,1.212,110.458,28.75,,86,9.224,1
0805cfe582b377efdd48be1dc2e7af49d17a072f,88,10342.15265,34993.34419,1280.710092,,,762.85,1.281,587.413,148.653,,996,530.559873,1
82432f50d9c068d3bf71476915f757017f366ce4,60,494.737954,6052.871822,772.7154812,,,395.504,1.353,300.499,74.751,,634,0.2,1
8580d7fddfeede3e6dc0d2c68d767b62fb23b385,70,127.4233498,1259.226262,1818.978855,,,625.43,1.236,476.35,119.273,,1268,0,1
207265198395e4267200a200ab8acfc37aa78498,78,4.411,0,224.8868725,,,174.494,1.244,133.601,32.83,,96,0,1
f36637dc2f2905e52df76b3e95e71a9732a06982,89,5511.657138,7613.177957,1006.495548,,,492.057,1.224,380.932,90.166,,849,0,1
f5d3c14afdb3a00ec4eb32ff2771f0a503171208,87,186.7063161,815.3792742,140.7844666,,,136.024,1.323,101.951,27.486,,134,43.3,1
bb04d078ad9672027efa02a4e16475e6bfd8ee0f,56,33424.18206,453464.0353,2636.003135,,,1796.007,1.242,1384.824,345.217,,5378,124.1937037,1
c4b2a8480df9899b432e2e7a38836b77008b394b,10,1.950854645,900.3685228,8.008781518,,,21.942,1.323,15.117,3.722,,6,0.02,0
b151df7e8ccd5dad31193eb8ad7a7f34e14efb07,65,160.3642233,7136.315787,24.30474485,,,26.378,1.231,19.344,4.232,,12,0,1
d8d7ad37a31a3aaf30eea5c08c1109aa5b3ca316,60,32.97956568,3550.213471,15.98576312,,,21.847,1.223,15.192,3.758,,6,11.1,0
09f50cd80c9cabc9f7532b6063fe67695f5484fa,95,814.6764001,5057.273912,222.3355107,,,60.225,1.297,43.359,11.177,,355,0,1
13137eb6c7071d9753121bd3013a8ba273abbd48,89,737.2644716,9516.135208,191.1733455,,,101.681,1.268,69.798,16.678,,177,14.5,1
656d0dd4f3b5ceefc649cb2bd0d952db65dd014c,75,155.3624842,4516.780347,87.35114498,,,21.192,1.263,13.734,3.684,,68,50.36,0
58a17cc549a60b54d78edf6b4a25e92ad948c0da,74,634.8010511,12752.82341,101.4202074,,,64.803,1.224,48.93,11.234,,113,266.3356203,0
8f31e6339de0bfdc282c1d2818c0befb3d309a7f,60,3.738766524,0,20.61911036,,,20.704,1.236,13.709,3.816,,8,4.02,0
935abae04e76f5de3971ad60b80dfc5d9985d8ad,86,993.7843305,0,14.29722152,,,27.922,1.286,18.949,4.303,,66,9.55,0
f5975881983f63560816b84038822751b9bb28e2,45,112.586319,24551.24972,46.41925372,,,27.558,1.219,20.405,4.292,,13,0,1
e0c049060b45dcb9b93b7802edee3e5e4301cae5,20,0.202,0,0,,,21.534,1.255,14.942,3.845,,4,0,1
73c1530b3f99f8c06d73adb122bc9dd24279e27b,92,278.8262906,8454.470118,47.58366893,,,42.698,1.261,30.518,7.463,,79,0,1
bde58d6addd4d693aa5aedfafc1406e9952ff22b,35,124.337573,567.8543508,23.90272654,,,19.991,1.26,13.467,3.622,,12,6.5,0
879a063b570bb9dd15022db01c855dc71304b0f8,84,292.1353263,3654.827099,103.8896616,,,139.436,1.308,103.063,27.699,,33,0,1
10e2deb21007279720bd93c8c10c5af1b987b951,76,214.4417599,3042.111504,90.45738111,,,85.443,1.266,64.292,15.937,,62,12.04,1
5875ca1c37e2cf9e1d283158e7ecc3b0d03afe70,64,121.4886068,0,73.72411763,,,24.451,1.281,17.011,4.432,,27,0,1
2404540f1f1963ab20c1edb06c2fc64ee377532c,53,13520.97826,127764.8654,963.2253716,,,360.322,1.248,272.363,68.335,,856,0,1
e0c19c0b539b332ee3fe73e871463c6e19f9e16f,12,2.6,0,0,,,70.86,1.312,51.602,14.841,,30,0,1
567b53d4b1130a2522970bb76f6c5eef8555435c,32,4149.227897,65433.44175,220.0151534,,,253.831,1.277,190.885,46.315,,331,0,1
1174c240e29ca4f5e0609583545e3e98b3a91263,11,3718.806704,84887.4157,1915.192793,,,203.035,1.234,154.137,41.258,,1237,19.62,1
d94495131ab2411aa701ab5b41fb7b3a6e40a04d,0,278.63343,1476.089567,538.5977495,,,78.126,1.23,61.131,12.449,,231,0,1
118e7359a15cc8664a0dc0a9503f7055404df74f,13,36.36257193,4161.708367,57.27853404,,,219.34,1.224,168.089,43.126,,63,1.84,1
d41d67fa942818cadac5fe5c984eeb70d1f0b574,71,71.75563529,443.0861797,59.28975772,,,53.772,1.21,38.725,10.286,,50,0,1
b6b89a7296cf5017b94e8996fd519c13764f1907,65,624.303976,0,34.9030581,,,49.106,1.238,30.52,7.28,,101,0,1
8b29c0680bad805c2c7b529e186b7ffba3cac87f,60,415.3714966,0,28.80479901,,,75.301,1.228,55.905,14.224,,159,0,1
3de88293fe665e67df1854152faaaa10d6b23ce3,80,1954.276352,5648.266564,412.1749617,,,351.038,1.22,256.299,63.503,,233,0,1
8aea7da1dfdef6b2bc9db50c8c39c476f5ef42d3,10,148.1171795,0,11.36655374,,,20.384,1.215,13.566,3.577,,5,1.06,0
de5c6a237a7af88d7f3e127f8c9e41e8e38db7f6,0,3.84,0,0,,,51.468,1.249,36.737,11.536,,269,0,1
a0184188c1a7651e4fdd8d4bd899506be0927e30,68,27.64151488,2054.351314,27.095251,,,26.018,1.262,17.963,4.197,,16,0,1
c39117e366378c6e248329464707a0b115638860,20,7.993596334,0,32.8989497,,,21.362,1.227,14.426,3.666,,9,0.6,0
f2e9ad3b117ef5b1b250d8f1e121f67899045e0e,78,16.22685984,8.024826185,97.98777026,,,135.021,1.324,102.239,25.436,,42,0.9,1
4b295dff15d1eac091e6129b3a13f343885e7d0e,75,2755.744519,0,190.3202717,,,102.163,1.248,76.555,18.549,,163,4.133,1
e6a7fe8a0cc6c1f4324b6078435ab6578746f6cf,10,18.19438684,625.7484007,23.05972268,,,34.791,1.24,24.79,6.856,,14,2,0
af3a7526d2beb4baf7fe28c992e5974738496642,79,808.8743133,16686.87354,30.6692839,,,40.694,1.221,29.738,7.319,,52,0.08,1
0940d35602f505a9c0026ea7ef353971af5e4ab8,78,481.2478935,6919.225839,195.599634,,,270.603,1.23,204.506,54.445,,106,48.06625,0
3c9f1f85e1a17338281f97f153ca6b1804b2d664,65,37.43544796,5049.358355,71.86869194,,,114.272,1.192,84.219,21.627,,26,0.082,1
6a02e818fff4c71ea11945e45f6e42aeb1e12a33,50,1.961,3.640009496,11.14298117,,,215.903,1.221,165.024,41.841,,102,0.01,1
8285223560d9c83c6b7d3a3f00dd972fe26f928f,80,3712.155974,49448.83727,1098.707552,,,753.851,1.203,548.929,135.63,,675,204.8524242,1
a0b4dbb34bce311e894663227d0fae93e33b73f4,82,2883.778248,12718.30212,328.412139,,,24.122,1.228,16.423,4.193,,207,0,1
36e1bde6ff77a08a0a3e01714ae3583f2283a2d8,68,164.015912,2754.193633,259.0477237,,,500.015,1.219,379.446,96.383,,164,5.862,1
25c124917bb3ea83c2ff00a6c076e12b260d455a,84,239.2855452,49370.48153,135.0164376,,,90.842,2.028,70.331,15.307,,129,18.6,1
8d5cfd326e4ef0970f1c25c34ad6c8f1299edcdb,86,244.5956409,2226.638661,117.6786386,,,39.055,1.229,26.676,7.261,,77,0,1
22cf9671b139be6b49fceda7f43b2a9476fbd67c,43,49.40237051,407.7833209,43.72546886,,,20.962,1.26,14.032,3.504,,13,7.68,0
871ee6bde7c47f0967a133c5ece867d679dddafa,42,541.0409127,113714.8207,139.7797507,,,25.965,1.477,18.554,3.765,,133,0,1
75f9adea87cb5310229e8e2c0db15161343bf11c,48,0.06,2.400865236,20.45973984,,,37.349,1.214,26.614,7.29,,7,0.06,0
712148ecc3cc088e1d674dd8ffaf45845b3d2e95,38,1.562,0.15717002,347.979179,,,60.757,1.351,45.636,10.967,,105,0.35,0
956b8194ff792d07fbcf01853f18126dcf9e8264,40,0.29265283,2.668620931,10.262162,,,18.912,1.199,12.669,3.436,,4,0.57,0
400771a1a7caa61affcdad89a6b5f96fff8652a7,45,22.16293329,5203.121884,27.446499,,,42.963,1.202,32.05,7.422,,4,8,0
b7f851104afea252f910ee8ec39c8005be102df5,0,475.6711485,19903.00959,39.31658705,,,36.207,1.266,26.617,5.083,,25,0,1
460abd7474e1a700f387298dedfb9fc217388389,65,35.7240529,347.7672846,22.16033113,,,39.381,1.213,28.018,7.423,,17,10.23,0
bf1822c55e2729623ac5dd8e758fb0df4d9f5026,87,205.6964558,3127.573973,123.1158131,,,64.953,1.24,49.838,11.449,,96,40,1
f6333a5001450ec68b47bdb019e78b97a74f25f2,50,17.12607221,0,17.85055223,,,26.339,1.214,15.552,3.686,,3,6.5,0
c9489606d5ae6ff3af6eac9f407260b3e1f4dca0,61,71.52815313,0,10.97087238,,,27.938,1.236,20.421,4.646,,5,5.5,0
feb0377476eb6354288b969648e57414ca1deab0,66,165.7194803,6782.463753,59.36879898,,,58.136,1.234,42.712,10.976,,77,14.28,1
65c6c250708b409bc4eca8a16a9e5e8bd9870ffc,60,110.0700005,10650.83172,72.38657939,,,42.616,1.378,30.075,7.422,,45,1,1
1026a1e55880f59a2dafb654347cc120f234ceaf,10,23.25381929,0,10.22876875,,,19.879,1.301,13.344,3.566,,5,0,1
e73b33c18bff8daf701b115b56b5d6557131c58d,15,10.55467293,63.77512786,23.33066194,,,26.982,1.353,19.568,4.404,,4,0.2,0
a2df6f1e325fc528e02cdb6a099209edb10620b2,0,3.228,0,0,,,26.343,1.329,19.162,4.201,,4,0,1
f9b46db6e0d7bbd753bce13e90f70ecf12713e45,0,2.873324451,5.618299247,22.19469571,,,22.127,1.274,15.044,3.688,,12,0,1
12a6579513ffc9f36ef41a8d18fc456ab8ccf7e8,10,2.226,0,0,,,25.154,1.33,18.206,4.044,,7,0,1
918ac1535f37c47a2230f14b6404d411ee7df91e,86,1331.800132,17487.00624,93.51509409,,,100.208,1.224,75.583,19.478,,86,24.13066667,1
6395fa7c79b62f99d0c114702dc0bcc8a5ef97ad,78,817.0075681,26639.20411,38.22910561,,,40.362,1.215,29.706,7.392,,76,10.97258824,0
0524eed4b9272c3e88447f1442db90a85d772b49,80,2.631904501,1.775797678,20.27702248,,,37.662,1.196,27.327,7.205,,14,0,1
ee26e23b31011b641b1bbc646fe38d42d0e72d00,84,92.05223043,4004.493751,211.5785333,,,77.305,1.243,56.512,14.529,,114,0,1
ee5437c1f1467474e3f232ff25355feba73496ec,82,26.73487178,18601.30939,20.73879377,,,22.453,1.217,15.418,3.642,,47,0.331,0
